,subject,score,display,question,dimension,question_number,qdirection,item
562,sub002,1.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
568,sub002,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
574,sub002,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
580,sub002,1.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
586,sub002,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
592,sub002,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
602,sub003,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
608,sub003,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
614,sub003,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
620,sub003,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
626,sub003,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
632,sub003,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
644,sub003,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
650,sub003,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
656,sub003,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
662,sub003,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
668,sub003,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
674,sub003,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
680,sub003,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
686,sub003,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
692,sub003,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
698,sub003,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
704,sub003,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
710,sub003,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
716,sub003,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
728,sub003,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
734,sub003,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
740,sub003,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
746,sub003,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
758,sub003,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
764,sub003,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
770,sub003,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
776,sub003,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
782,sub003,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
788,sub003,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
794,sub003,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
800,sub003,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
806,sub003,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
812,sub003,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
818,sub003,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
830,sub003,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
836,sub003,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
842,sub003,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
848,sub003,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
854,sub003,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
860,sub003,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
866,sub003,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
872,sub003,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
878,sub003,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
884,sub003,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
900,sub004,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
906,sub004,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
912,sub004,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
918,sub004,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
924,sub004,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
930,sub004,1.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
936,sub004,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
942,sub004,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
948,sub004,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
954,sub004,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
960,sub004,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
972,sub004,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
984,sub004,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
990,sub004,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
996,sub004,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1002,sub004,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1008,sub004,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1014,sub004,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1026,sub004,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1032,sub004,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1038,sub004,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1044,sub004,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1050,sub004,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1056,sub004,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1062,sub004,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1068,sub004,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1074,sub004,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1080,sub004,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1092,sub004,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1098,sub004,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1104,sub004,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1110,sub004,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1116,sub004,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1122,sub004,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1128,sub004,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1134,sub004,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1140,sub004,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
1146,sub004,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1152,sub004,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1158,sub004,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1170,sub004,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
1176,sub004,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1182,sub004,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
1188,sub004,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1198,sub005,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1204,sub005,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1216,sub005,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
1228,sub005,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
1240,sub005,2.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1246,sub005,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1252,sub005,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1258,sub005,2.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
1264,sub005,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1270,sub005,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1276,sub005,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1282,sub005,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1288,sub005,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1294,sub005,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1300,sub005,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
1306,sub005,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1312,sub005,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1318,sub005,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1324,sub005,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1330,sub005,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1336,sub005,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1342,sub005,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1348,sub005,2.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1354,sub005,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1360,sub005,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1366,sub005,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1372,sub005,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
1384,sub005,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1390,sub005,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
1396,sub005,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
1402,sub005,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1408,sub005,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1414,sub005,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1420,sub005,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1432,sub005,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
1438,sub005,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1444,sub005,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
1450,sub005,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1456,sub005,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1462,sub005,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1468,sub005,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
1474,sub005,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1480,sub005,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
1486,sub005,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1496,sub006,2.0,understanding,# I check permissions requested by apps before download.,inspecting,q32,forward,inspecting_q32
1502,sub006,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1508,sub006,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1514,sub006,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1526,sub006,2.0,understanding,# I use a password manager.,blocking,q07,forward,blocking_q07
1532,sub006,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1538,sub006,2.0,understanding,# I give personal information on social media surveys or games.,hiding,q26,reversed,hiding_q26
1544,sub006,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1550,sub006,2.0,understanding,# I confirm recipients are trustworthy before replying to emails.,inspecting,q44,forward,inspecting_q44
1556,sub006,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
1562,sub006,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1568,sub006,2.0,understanding,# I change the default name of my devices.,inspecting,q29,forward,inspecting_q29
1574,sub006,2.0,understanding,# I scan my phone with an antivirus or similar. ,inspecting,q38,forward,inspecting_q38
1580,sub006,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1586,sub006,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1592,sub006,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1598,sub006,2.0,understanding,# I update the apps in my devices.,blocking,q01,forward,blocking_q01
1604,sub006,2.0,understanding,# I accept friend requests from total strangers on social media.,hiding,q27,reversed,hiding_q27
1610,sub006,2.0,understanding,# I use the same password for different devices.,blocking,q04,reversed,blocking_q04
1616,sub006,2.0,understanding,# I access my online baking when connected to a public WiFi.,hiding,q24,reversed,hiding_q24
1622,sub006,2.0,understanding,# I pay attention to the settings of my devices.,inspecting,q30,forward,inspecting_q30
1634,sub006,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1640,sub006,2.0,understanding,# I make sure my social media are in private mode if I can.,hiding,q14,forward,hiding_q14
1646,sub006,2.0,understanding,# I use a camera cover for my devices when I can.,blocking,q09,forward,blocking_q09
1652,sub006,2.0,understanding,# I seek experts' recommendations on cybersecurity.,inspecting,q41,forward,inspecting_q41
1658,sub006,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1664,sub006,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
1670,sub006,2.0,understanding,# I turn-off my WiFi when in public and not using it.,hiding,q13,forward,hiding_q13
1676,sub006,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1682,sub006,2.0,understanding,# I use the same password for different websites.,blocking,q03,reversed,blocking_q03
1688,sub006,2.0,understanding,# I use different email addresses for work and personal issues. ,hiding,q16,forward,hiding_q16
1694,sub006,1.0,understanding,# I pay attention to news about cybersecurity breaches.,inspecting,q40,forward,inspecting_q40
1700,sub006,2.0,understanding,# I remove apps that I no longer use.,blocking,q11,forward,blocking_q11
1706,sub006,2.0,understanding,# I check my firewall is working before using the internet.,inspecting,q36,forward,inspecting_q36
1712,sub006,1.0,understanding,# I clean my browsing history and cookies.,hiding,q19,forward,hiding_q19
1724,sub006,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1730,sub006,1.0,understanding,# I ensure that my browser offers good security options.,inspecting,q43,forward,inspecting_q43
1736,sub006,2.0,understanding,# I ensure a source is trustworthy before installing an app.,inspecting,q39,forward,inspecting_q39
1742,sub006,1.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1748,sub006,2.0,understanding,# I blindly accept all cookies from a website.,hiding,q25,reversed,hiding_q25
1760,sub006,2.0,understanding,# I scan my computer with an antivirus or similar. ,inspecting,q37,forward,inspecting_q37
1772,sub006,2.0,understanding,# I keep an ad-blocker or pop-up-blocker active. ,blocking,q08,forward,blocking_q08
1778,sub006,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1784,sub006,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1794,sub007,2.0,understanding,# I keep my antivirus protection active when browsing the internet.,blocking,q10,forward,blocking_q10
1800,sub007,2.0,understanding,# I try to remain anonymous in the internet if I can.,hiding,q18,forward,hiding_q18
1806,sub007,2.0,understanding,# I turn-off my location when not using it.,hiding,q20,forward,hiding_q20
1818,sub007,2.0,understanding,# I use complex and long passwords.,blocking,q02,forward,blocking_q02
1830,sub007,2.0,understanding,# I check whether emails come from trustworthy sources.,inspecting,q42,forward,inspecting_q42
1836,sub007,2.0,understanding,# I avoid using social media accounts for signing-in to a new website.,hiding,q23,forward,hiding_q23
1842,sub007,2.0,understanding,"# I share personal information online, even when not strictly necessary.",hiding,q15,reversed,hiding_q15
1848,sub007,2.0,understanding,# I change my passwords after using them for a while.,blocking,q05,forward,blocking_q05
1854,sub007,2.0,understanding,# I check my internet connection is safe before shopping.,inspecting,q35,forward,inspecting_q35
1860,sub007,2.0,understanding,# I share personal information with strangers on social media.,hiding,q17,reversed,hiding_q17
1866,sub007,2.0,understanding,# I share my passwords with others. ,blocking,q06,reversed,blocking_q06
1872,sub007,2.0,understanding,# I prefer to use my fingerprint to sign-in to my devices when possible.,blocking,q12,forward,blocking_q12
1878,sub007,2.0,understanding,# I accept chat requests from strangers on social media.,hiding,q22,reversed,hiding_q22
1884,sub007,2.0,understanding,# I check whether websites are encrypted.,inspecting,q33,forward,inspecting_q33
1890,sub007,2.0,understanding,# I ensure my devices are locked if not using them.,inspecting,q28,forward,inspecting_q28
1896,sub007,2.0,understanding,# I check whether updates are safe before applying them.,inspecting,q31,forward,inspecting_q31
1902,sub007,2.0,understanding,# I clean my location log info.,hiding,q21,forward,hiding_q21
1908,sub007,2.0,understanding,# I check my browser is safe/encrypted before shopping.,inspecting,q34,forward,inspecting_q34
